dataset,role_normalized,n_records,median_salary_usd,mean_salary_usd,p25,p75
Kaggle DS,Data Architect,12,175000.0,171360.0,147064.0,196617.0
Kaggle DS,Data Manager,18,167938.0,170371.0,117614.0,218000.0
Kaggle DS,Data General,1,165000.0,165000.0,165000.0,165000.0
Kaggle DS,Data Scientist,181,109000.0,115578.0,62726.0,152000.0
Kaggle DS,Data Engineer,156,107400.0,115284.0,69343.0,154700.0
Kaggle DS,Data Analyst,135,93700.0,98852.0,61598.0,126500.0
Kaggle DS,ML Engineer,68,87932.0,113026.0,56457.0,161249.0
Kaggle DS,Research Scientist,16,76264.0,109020.0,62176.0,105000.0
Kaggle DS,Tech General,2,54957.0,54957.0,54957.0,54957.0
Kaggle DS,AI Engineer,7,45896.0,66136.0,15027.0,87500.0
Kaggle DS,Computer Vision Engineer,10,44305.0,58767.0,20180.0,89310.0
Kaggle DS,NLP Engineer,1,37236.0,37236.0,37236.0,37236.0
LinkedIn,Product Manager,3,200000.0,190100.0,179175.0,205975.0
LinkedIn,AI Engineer,7,192459.0,186437.0,167550.0,196250.0
LinkedIn,ML Engineer,54,179400.0,185951.0,153450.0,218125.0
LinkedIn,Other Data,2,167425.0,167425.0,133638.0,201213.0
LinkedIn,Data Scientist,94,162200.0,156853.0,115830.0,186250.0
LinkedIn,Data Architect,28,161200.0,148148.0,140000.0,165000.0
LinkedIn,Healthcare Data Specialist,4,154850.0,155300.0,87275.0,222875.0
LinkedIn,Data General,62,146500.0,147554.0,104813.0,180713.0
LinkedIn,Data Engineer,124,140200.0,204525.0,125000.0,172688.0
LinkedIn,Cloud Engineer,1,137177.0,137177.0,137177.0,137177.0
LinkedIn,Marketing Analyst,6,122500.0,132850.0,120000.0,144125.0
LinkedIn,BI Analyst,51,121125.0,124186.0,101250.0,137390.0
LinkedIn,Financial Analyst,4,112505.0,120065.0,91107.0,141463.0
LinkedIn,Data Manager,7,112500.0,115468.0,98871.0,129118.0
LinkedIn,Data Analyst,169,109200.0,115384.0,86500.0,135000.0
LinkedIn,Supply Chain Analyst,5,97500.0,123657.0,97500.0,112500.0
Spain,Research Scientist,5,169200.0,176090.0,169200.0,253750.0
Spain,NLP Engineer,2,69910.0,69910.0,67345.0,72474.0
Spain,Data Architect,150,65988.0,65110.0,51192.0,74493.0
Spain,Product Manager,165,50760.0,50497.0,41040.0,55188.0
Spain,ML Engineer,219,49464.0,55335.0,41688.0,68904.0
Spain,Analytics General,2,49297.0,49297.0,47224.0,51371.0
Spain,Tech General,1,48658.0,48658.0,48658.0,48658.0
Spain,Data Scientist,296,48006.0,53797.0,38868.0,64881.0
Spain,AI Engineer,205,47304.0,52362.0,35640.0,65556.0
Spain,DevOps Engineer,215,45792.0,48527.0,40338.0,57132.0
Spain,Data Engineer,241,45684.0,50638.0,40608.0,59400.0
Spain,Backend Engineer,215,40284.0,41433.0,35100.0,49302.0
Spain,Fullstack Engineer,200,40230.0,41068.0,33561.0,49464.0
Spain,Security Engineer,200,39204.0,43563.0,33237.0,51840.0
Spain,Mobile Engineer,200,39042.0,39078.0,33669.0,46440.0
Spain,Frontend Engineer,200,36180.0,36284.0,33291.0,40392.0
Spain,Data Analyst,235,35316.0,36048.0,29970.0,42120.0
Spain,QA Engineer,200,32400.0,33706.0,28188.0,39960.0
