role_normalized,seniority,country_name,n_records,median_salary,min_salary,max_salary,std_salary
Data Scientist,Senior,Spain,114,61506.0,37824.0,86374.0,11846.0
Data Analyst,,United States,112,97240.0,47840.0,445000.0,45870.0
Data Engineer,Senior,United States,102,150000.0,75.0,276000.0,41346.0
Data Engineer,Mid,Spain,96,44334.0,39528.0,95000.0,12733.0
Data Scientist,Senior,United States,90,163171.0,54094.0,412000.0,54254.0
Data Scientist,Mid,Spain,90,46809.0,37825.0,68500.0,5585.0
Data Analyst,Senior,United States,86,116075.0,60000.0,405000.0,42920.0
Data Analyst,Mid,Spain,85,32940.0,29160.0,47900.0,3870.0
ML Engineer,Mid,Spain,82,47282.0,38868.0,139777.0,12975.0
DevOps Engineer,Mid,Spain,82,44280.0,39636.0,68800.0,5908.0
Backend Engineer,Mid,Spain,80,38934.0,34020.0,64600.0,6432.0
Data Analyst,Senior,Spain,79,42012.0,31200.0,56143.0,3951.0
Product Manager,Mid,Spain,78,40986.0,34668.0,58800.0,3883.0
Data Engineer,Senior,Spain,77,57888.0,36773.0,91773.0,7989.0
AI Engineer,Mid,Spain,72,45738.0,32811.0,52920.0,3437.0
Frontend Engineer,Mid,Spain,70,35694.0,34020.0,37476.0,865.0
Security Engineer,Mid,Spain,70,38016.0,33588.0,42228.0,1980.0
Fullstack Engineer,Mid,Spain,70,38718.0,34236.0,42660.0,2304.0
Mobile Engineer,Mid,Spain,70,37800.0,34236.0,41688.0,1900.0
Data Architect,Mid,Spain,70,50976.0,44928.0,57780.0,3296.0
QA Engineer,Mid,Spain,70,31266.0,28728.0,34344.0,1437.0
ML Engineer,Senior,Spain,68,68148.0,46000.0,80244.0,5987.0
Product Manager,Senior,Spain,67,54432.0,39300.0,58860.0,3854.0
Backend Engineer,Senior,Spain,65,48708.0,44820.0,62600.0,2593.0
AI Engineer,Senior,Spain,63,65556.0,55000.0,72036.0,4132.0
DevOps Engineer,Senior,Spain,63,56484.0,46600.0,67100.0,3632.0
Security Engineer,Senior,Spain,60,51840.0,45036.0,57456.0,2931.0
QA Engineer,Senior,Spain,60,39960.0,36072.0,42444.0,1432.0
Frontend Engineer,Senior,Spain,60,40392.0,38232.0,42444.0,1131.0
Mobile Engineer,Senior,Spain,60,46440.0,44604.0,48168.0,872.0
Data Architect,Senior,Spain,60,71820.0,62856.0,79272.0,4185.0
Fullstack Engineer,Senior,Spain,60,49464.0,45144.0,53892.0,1984.0
Data Engineer,,United States,57,135000.0,80000.0,6900400.0,896449.0
Data Scientist,Junior,Spain,54,32346.0,27317.0,43187.0,2939.0
Data Analyst,Junior,Spain,53,24408.0,21593.0,28888.0,1270.0
Data Engineer,Junior,Spain,51,32292.0,28188.0,41027.0,2603.0
AI Engineer,Junior,Spain,51,31644.0,28080.0,35640.0,1932.0
Frontend Engineer,Junior,Spain,50,27432.0,22140.0,31104.0,2431.0
Backend Engineer,Junior,Spain,50,26622.0,22680.0,31104.0,2189.0
DevOps Engineer,Junior,Spain,50,32562.0,28404.0,36720.0,1933.0
QA Engineer,Junior,Spain,50,24624.0,22140.0,26568.0,1226.0
ML Engineer,Junior,Spain,50,32724.0,28080.0,36720.0,2197.0
Fullstack Engineer,Junior,Spain,50,27000.0,22356.0,31536.0,2460.0
Mobile Engineer,Junior,Spain,50,26892.0,22140.0,31968.0,2288.0
Security Engineer,Junior,Spain,50,30024.0,27324.0,32184.0,1192.0
Data Scientist,,United States,40,150050.0,74977.0,252844.0,44342.0
Data Scientist,Mid,United States,34,127995.0,5679.0,241000.0,46066.0
ML Engineer,,United States,30,183000.0,100000.0,410000.0,56357.0
Data Engineer,Mid,United States,26,110786.0,20000.0,206699.0,48008.0
BI Analyst,,United States,23,107500.0,63500.0,142692.0,20444.0
Data Scientist,Lead,Spain,23,92340.0,69741.0,106666.0,9093.0
ML Engineer,Senior,United States,23,189650.0,120000.0,256000.0,36389.0
Data Analyst,Mid,United States,22,95500.0,36259.0,450000.0,82218.0
Data Architect,,United States,21,161200.0,73.0,202500.0,52786.0
Data Engineer,Lead,Spain,21,75384.0,69768.0,83916.0,3965.0
Product Manager,Lead,Spain,20,73440.0,67500.0,83916.0,4940.0
ML Engineer,Lead,Spain,20,94122.0,85536.0,104004.0,5321.0
Frontend Engineer,Lead,Spain,20,50166.0,45792.0,53244.0,1910.0
Data Analyst,Lead,Spain,20,50274.0,46980.0,52272.0,1728.0
DevOps Engineer,Lead,Spain,20,74790.0,67392.0,82944.0,3956.0
QA Engineer,Lead,Spain,20,46764.0,44928.0,48060.0,1093.0
Mobile Engineer,Lead,Spain,20,51786.0,50544.0,53352.0,831.0
Data Architect,Lead,Spain,20,94932.0,83160.0,101628.0,5035.0
Security Engineer,Lead,Spain,20,72630.0,62316.0,82944.0,5402.0
Fullstack Engineer,Lead,Spain,20,58698.0,56484.0,63828.0,1891.0
Backend Engineer,Lead,Spain,20,57618.0,56052.0,58536.0,810.0
AI Engineer,Lead,Spain,20,87696.0,78624.0,93852.0,4039.0
Data Scientist,estimacion,Spain,17,75600.0,32400.0,192875.0,47265.0
Data General,Director,United States,15,184350.0,145500.0,318000.0,53975.0
Data Analyst,Manager,United States,15,125000.0,88000.0,183450.0,28188.0
Data Engineer,Mid,United Kingdom,14,80527.0,52351.0,117789.0,19676.0
Data General,,United States,14,117200.0,65000.0,260000.0,56041.0
Data General,Manager,United States,14,135000.0,50000.0,160992.0,33387.0
Data General,Senior,United States,13,91500.0,76250.0,180950.0,36907.0
Data Engineer,Lead,United States,11,156000.0,119600.0,202500.0,23030.0
Data Architect,Senior,United States,11,165000.0,138800.0,266400.0,37963.0
ML Engineer,Mid,United States,9,153000.0,38400.0,423000.0,115414.0
Data Scientist,Mid,United Kingdom,9,71982.0,39263.0,183228.0,44368.0
Data Analyst,Entry,United States,9,80000.0,50000.0,100000.0,19223.0
BI Analyst,Senior,United States,8,137280.0,109200.0,152000.0,11922.0
