fuente,rol,experiencia,rango_salarial,pais
Glassdoor,Data Scientist,rango,28.000-42.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,38.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,43.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,70.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,31.475 EUR,Espana
Glassdoor,Data Scientist,estimacion,56.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,35.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,30.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,63.462 EUR,Espana
Glassdoor,Data Scientist,estimacion,75.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,65.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,87.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,78.625 EUR,Espana
Glassdoor,Data Scientist,estimacion,127.216 EUR,Espana
Glassdoor,Data Scientist,estimacion,84.408 EUR,Espana
Glassdoor,Data Scientist,estimacion,178.588 EUR,Espana
Glassdoor,Data Scientist,estimacion,82.339 EUR,Espana
Glassdoor,Data Scientist,estimacion,166.855 EUR,Espana
