sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
B_S Todas las secciones,B_S,2024,Ambos sexos,29540.26,False
B_S Todas las secciones,B_S,2024,Mujeres,26904.9,False
B_S Todas las secciones,B_S,2024,Hombres,32057.55,False
B_S Todas las secciones,B_S,2023,Ambos sexos,28049.94,False
B_S Todas las secciones,B_S,2023,Mujeres,25591.31,False
B_S Todas las secciones,B_S,2023,Hombres,30372.49,False
B_S Todas las secciones,B_S,2022,Ambos sexos,26948.87,False
B_S Todas las secciones,B_S,2022,Mujeres,24359.82,False
B_S Todas las secciones,B_S,2022,Hombres,29381.84,False
B_S Todas las secciones,B_S,2021,Ambos sexos,25896.82,False
B_S Todas las secciones,B_S,2021,Mujeres,23175.95,False
B_S Todas las secciones,B_S,2021,Hombres,28388.69,False
B_S Todas las secciones,B_S,2020,Ambos sexos,25165.51,False
B_S Todas las secciones,B_S,2020,Mujeres,22467.48,False
B_S Todas las secciones,B_S,2020,Hombres,27642.52,False
B_S Todas las secciones,B_S,2019,Ambos sexos,24395.98,False
B_S Todas las secciones,B_S,2019,Mujeres,21682.02,False
B_S Todas las secciones,B_S,2019,Hombres,26934.38,False
B_S Todas las secciones,B_S,2018,Ambos sexos,24009.12,False
B_S Todas las secciones,B_S,2018,Mujeres,21011.89,False
B_S Todas las secciones,B_S,2018,Hombres,26738.19,False
B_S Todas las secciones,B_S,2017,Ambos sexos,23646.5,False
B_S Todas las secciones,B_S,2017,Mujeres,20607.85,False
B_S Todas las secciones,B_S,2017,Hombres,26391.84,False
B_S Todas las secciones,B_S,2016,Ambos sexos,23156.34,False
B_S Todas las secciones,B_S,2016,Mujeres,20131.41,False
B_S Todas las secciones,B_S,2016,Hombres,25924.43,False
B_S Todas las secciones,B_S,2015,Ambos sexos,23106.3,False
B_S Todas las secciones,B_S,2015,Mujeres,20051.58,False
B_S Todas las secciones,B_S,2015,Hombres,25992.76,False
B_S Todas las secciones,B_S,2014,Ambos sexos,22858.17,False
B_S Todas las secciones,B_S,2014,Mujeres,19744.82,False
B_S Todas las secciones,B_S,2014,Hombres,25727.24,False
B_S Todas las secciones,B_S,2013,Ambos sexos,22697.86,False
B_S Todas las secciones,B_S,2013,Mujeres,19514.58,False
B_S Todas las secciones,B_S,2013,Hombres,25675.17,False
B_S Todas las secciones,B_S,2012,Ambos sexos,22726.44,False
B_S Todas las secciones,B_S,2012,Mujeres,19537.33,False
B_S Todas las secciones,B_S,2012,Hombres,25682.05,False
B_S Todas las secciones,B_S,2011,Ambos sexos,22899.35,False
B_S Todas las secciones,B_S,2011,Mujeres,19767.59,False
B_S Todas las secciones,B_S,2011,Hombres,25667.89,False
B_S Todas las secciones,B_S,2010,Ambos sexos,22790.2,False
B_S Todas las secciones,B_S,2010,Mujeres,19735.22,False
B_S Todas las secciones,B_S,2010,Hombres,25479.74,False
B_S Todas las secciones,B_S,2009,Ambos sexos,22511.47,False
B_S Todas las secciones,B_S,2009,Mujeres,19502.02,False
B_S Todas las secciones,B_S,2009,Hombres,25001.05,False
B_S Todas las secciones,B_S,2008,Ambos sexos,21883.42,False
B_S Todas las secciones,B_S,2008,Mujeres,18910.62,False
B_S Todas las secciones,B_S,2008,Hombres,24203.33,False
B Industrias extractivas,B,2024,Ambos sexos,41951.74,False
B Industrias extractivas,B,2024,Mujeres,51101.45,True
B Industrias extractivas,B,2024,Hombres,40224.17,False
B Industrias extractivas,B,2023,Ambos sexos,38869.23,False
B Industrias extractivas,B,2023,Mujeres,45189.94,True
B Industrias extractivas,B,2023,Hombres,37724.88,False
B Industrias extractivas,B,2022,Ambos sexos,36308.58,False
B Industrias extractivas,B,2022,Mujeres,42851.51,True
B Industrias extractivas,B,2022,Hombres,35064.02,False
B Industrias extractivas,B,2021,Ambos sexos,34866.39,False
B Industrias extractivas,B,2021,Mujeres,41919.95,True
B Industrias extractivas,B,2021,Hombres,33557.99,False
B Industrias extractivas,B,2020,Ambos sexos,34424.68,False
B Industrias extractivas,B,2020,Mujeres,40804.11,True
B Industrias extractivas,B,2020,Hombres,33198.8,False
B Industrias extractivas,B,2019,Ambos sexos,34159.42,False
B Industrias extractivas,B,2019,Mujeres,39732.29,True
B Industrias extractivas,B,2019,Hombres,33116.69,False
B Industrias extractivas,B,2018,Ambos sexos,33990.57,False
B Industrias extractivas,B,2018,Mujeres,38900.71,True
B Industrias extractivas,B,2018,Hombres,33095.45,False
B Industrias extractivas,B,2017,Ambos sexos,32555.75,False
B Industrias extractivas,B,2017,Mujeres,35259.06,True
B Industrias extractivas,B,2017,Hombres,32127.49,False
B Industrias extractivas,B,2016,Ambos sexos,32400.69,False
B Industrias extractivas,B,2016,Mujeres,35133.36,True
B Industrias extractivas,B,2016,Hombres,31968.68,False
B Industrias extractivas,B,2015,Ambos sexos,32494.07,False
B Industrias extractivas,B,2015,Mujeres,36885.69,True
