fuente,rol,experiencia,rango_salarial,pais
INE,INE Sector J - Ambos sexos,2024,42741.94 EUR,Espana
INE,INE Sector J - Mujeres,2024,38807.08 EUR,Espana
INE,INE Sector J - Hombres,2024,45054.30 EUR,Espana
INE,INE Sector J - Ambos sexos,2023,39674.43 EUR,Espana
INE,INE Sector J - Mujeres,2023,36392.76 EUR,Espana
INE,INE Sector J - Hombres,2023,41536.56 EUR,Espana
INE,INE Sector J - Ambos sexos,2022,37438.55 EUR,Espana
INE,INE Sector J - Mujeres,2022,34306.95 EUR,Espana
INE,INE Sector J - Hombres,2022,39135.10 EUR,Espana
INE,INE Sector J - Ambos sexos,2021,36630.48 EUR,Espana
INE,INE Sector J - Mujeres,2021,33225.56 EUR,Espana
INE,INE Sector J - Hombres,2021,38514.17 EUR,Espana
INE,INE Sector J - Ambos sexos,2020,35663.80 EUR,Espana
INE,INE Sector J - Mujeres,2020,32227.73 EUR,Espana
INE,INE Sector J - Hombres,2020,37580.51 EUR,Espana
INE,INE Sector J - Ambos sexos,2019,34641.28 EUR,Espana
INE,INE Sector J - Mujeres,2019,30898.57 EUR,Espana
INE,INE Sector J - Hombres,2019,36746.41 EUR,Espana
INE,INE Sector J - Ambos sexos,2018,33117.64 EUR,Espana
INE,INE Sector J - Mujeres,2018,29099.47 EUR,Espana
INE,INE Sector J - Hombres,2018,35411.23 EUR,Espana
INE,INE Sector J - Ambos sexos,2017,33664.26 EUR,Espana
INE,INE Sector J - Mujeres,2017,30015.53 EUR,Espana
INE,INE Sector J - Hombres,2017,35768.78 EUR,Espana
INE,INE Sector J - Ambos sexos,2016,32448.31 EUR,Espana
INE,INE Sector J - Mujeres,2016,28834.47 EUR,Espana
INE,INE Sector J - Hombres,2016,34475.06 EUR,Espana
INE,INE Sector J - Ambos sexos,2015,33046.23 EUR,Espana
INE,INE Sector J - Mujeres,2015,28935.74 EUR,Espana
INE,INE Sector J - Hombres,2015,35417.86 EUR,Espana
INE,INE Sector J - Ambos sexos,2014,32754.21 EUR,Espana
INE,INE Sector J - Mujeres,2014,29223.97 EUR,Espana
INE,INE Sector J - Hombres,2014,34740.60 EUR,Espana
INE,INE Sector J - Ambos sexos,2013,33137.17 EUR,Espana
INE,INE Sector J - Mujeres,2013,28651.29 EUR,Espana
INE,INE Sector J - Hombres,2013,35756.26 EUR,Espana
INE,INE Sector J - Ambos sexos,2012,32522.11 EUR,Espana
INE,INE Sector J - Mujeres,2012,28166.28 EUR,Espana
INE,INE Sector J - Hombres,2012,35196.03 EUR,Espana
INE,INE Sector J - Ambos sexos,2011,32491.04 EUR,Espana
INE,INE Sector J - Mujeres,2011,28464.25 EUR,Espana
INE,INE Sector J - Hombres,2011,34990.87 EUR,Espana
INE,INE Sector J - Ambos sexos,2010,32425.68 EUR,Espana
INE,INE Sector J - Mujeres,2010,28610.13 EUR,Espana
INE,INE Sector J - Hombres,2010,34726.99 EUR,Espana
INE,INE Sector J - Ambos sexos,2009,31551.65 EUR,Espana
INE,INE Sector J - Mujeres,2009,26716.32 EUR,Espana
INE,INE Sector J - Hombres,2009,34513.44 EUR,Espana
INE,INE Sector J - Ambos sexos,2008,30628.48 EUR,Espana
INE,INE Sector J - Mujeres,2008,26573.64 EUR,Espana
INE,INE Sector J - Hombres,2008,33090.09 EUR,Espana
