fuente,rol,experiencia,rango_salarial,pais
Manfred 2026,Backend Engineer,<2 años,€20–30K,Espana
Manfred 2026,Backend Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Backend Engineer,5-10 años,€41–50K,Espana
Manfred 2026,Backend Engineer,>10 años,€51-55K,Espana
Manfred 2026,Frontend Engineer,<2 años,€20–30K,Espana
Manfred 2026,Frontend Engineer,2-5 años,€31–35K,Espana
Manfred 2026,Frontend Engineer,5-10 años,€35–40K,Espana
Manfred 2026,Frontend Engineer,>10 años,€40-50K,Espana
Manfred 2026,Full-Stack Engineer,<2 años,€20–30K,Espana
Manfred 2026,Full-Stack Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Full-Stack Engineer,5-10 años,€41–50K,Espana
Manfred 2026,Full-Stack Engineer,>10 años,€51-60K,Espana
Manfred 2026,AI Engineer,<2 años,€25–35K,Espana
Manfred 2026,AI Engineer,2-5 años,€36–50K,Espana
Manfred 2026,AI Engineer,5-10 años,€51–70K,Espana
Manfred 2026,AI Engineer,>10 años,€71-90K,Espana
Manfred 2026,Mobile Engineer,<2 años,€20–30K,Espana
Manfred 2026,Mobile Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Mobile Engineer,5-10 años,€41–45K,Espana
Manfred 2026,Mobile Engineer,>10 años,€46-50K,Espana
Manfred 2026,QA & Testing,<2 años,€20–25K,Espana
Manfred 2026,QA & Testing,2-5 años,€26–32K,Espana
Manfred 2026,QA & Testing,5-10 años,€33–40K,Espana
Manfred 2026,QA & Testing,>10 años,€41-45K,Espana
Manfred 2026,SysAdmin,<2 años,€20–25K,Espana
Manfred 2026,SysAdmin,2-5 años,€26–35K,Espana
Manfred 2026,SysAdmin,5-10 años,€36–45K,Espana
Manfred 2026,SysAdmin,>10 años,€46-50K,Espana
Manfred 2026,SRE/DevOps Engineer,<2 años,€25–35K,Espana
Manfred 2026,SRE/DevOps Engineer,2-5 años,€36–45K,Espana
Manfred 2026,SRE/DevOps Engineer,5-10 años,€46–60K,Espana
Manfred 2026,SRE/DevOps Engineer,>10 años,€61-80K,Espana
Manfred 2026,Data Engineer,<2 años,€25–35K,Espana
Manfred 2026,Data Engineer,2-5 años,€36–45K,Espana
Manfred 2026,Data Engineer,5-10 años,€46–60K,Espana
Manfred 2026,Data Engineer,>10 años,€61-80K,Espana
Manfred 2026,Data Scientist,<2 años,€25–35K,Espana
Manfred 2026,Data Scientist,2-5 años,€36–50K,Espana
Manfred 2026,Data Scientist,5-10 años,€51–70K,Espana
Manfred 2026,Data Scientist,>10 años,€71-100K,Espana
Manfred 2026,Data Analyst,<2 años,€20–25K,Espana
Manfred 2026,Data Analyst,2-5 años,€26–35K,Espana
Manfred 2026,Data Analyst,5-10 años,€36–42K,Espana
Manfred 2026,Data Analyst,>10 años,€43-50K,Espana
Manfred 2026,MLOps Engineer,<2 años,€25–35K,Espana
Manfred 2026,MLOps Engineer,2-5 años,€36–50K,Espana
Manfred 2026,MLOps Engineer,5-10 años,€51–75K,Espana
Manfred 2026,MLOps Engineer,>10 años,€75-100K,Espana
Manfred 2026,Data Architect,<2 años,∅,Espana
Manfred 2026,Data Architect,2-5 años,€40-55K,Espana
Manfred 2026,Data Architect,5-10 años,€56-75K,Espana
Manfred 2026,Data Architect,>10 años,€75-100K,Espana
Manfred 2026,Software Architect,<2 años,∅,Espana
Manfred 2026,Software Architect,2-5 años,€40-50K,Espana
Manfred 2026,Software Architect,5-10 años,€51-75K,Espana
Manfred 2026,Software Architect,>10 años,€75-100K,Espana
Manfred 2026,Tech Lead,<2 años,∅,Espana
Manfred 2026,Tech Lead,2-5 años,€40-50K,Espana
Manfred 2026,Tech Lead,5-10 años,€51-65K,Espana
Manfred 2026,Tech Lead,>10 años,€65-80K,Espana
Manfred 2026,Staff Engineer,5-10 años,€65-85K,Espana
Manfred 2026,Staff Engineer,>10 años,€86-120K,Espana
Manfred 2026,Engineering Manager,5-10 años,€60-85K,Espana
Manfred 2026,Engineering Manager,>10 años,€86-110K,Espana
Manfred 2026,VP Engineering,5-10 años,€75-110K + 0.1/0.5%,Espana
Manfred 2026,VP Engineering,>10 años,€110-150K + 0.2/1.0%,Espana
Manfred 2026,CTO / Head of Engineering,5-10 años,€55-90K + 0.5/3%,Espana
Manfred 2026,CTO / Head of Engineering,>10 años,€91-140K + 0.3/1.5%,Espana
Manfred 2026,Product Manager,<2 años,∅,Espana
Manfred 2026,Product Manager,2-5 años,€31-45K,Espana
Manfred 2026,Product Manager,5-10 años,€46-55K,Espana
Manfred 2026,Product Manager,>10 años,€55-80K,Espana
Manfred 2026,Product Designer,<2 años,€20-25K,Espana
Manfred 2026,Product Designer,2-5 años,€26-30K,Espana
Manfred 2026,Product Designer,5-10 años,€31-40K,Espana
Manfred 2026,Product Designer,>10 años,€41-50K,Espana
Manfred 2026,Security/Cybersecurity Engineer,<2 años,€25-30K,Espana
Manfred 2026,Security/Cybersecurity Engineer,2-5 años,€31-40K,Espana
Manfred 2026,Security/Cybersecurity Engineer,5-10 años,€41-55K,Espana
Manfred 2026,Security/Cybersecurity Engineer,>10 años,€56-80K,Espana
