source,job_title,role_normalized,seniority,salary_eur,country,country_name,year,salary_usd,dataset
Manfred 2026,Backend Engineer,Backend Engineer,Junior,24300.0,ES,Spain,2026,26244.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,28400.0,ES,Spain,2026,30672.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,26300.0,ES,Spain,2026,28404.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25500.0,ES,Spain,2026,27540.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22800.0,ES,Spain,2026,24624.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22800.0,ES,Spain,2026,24624.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,21700.0,ES,Spain,2026,23436.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,27400.0,ES,Spain,2026,29592.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25500.0,ES,Spain,2026,27540.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,26200.0,ES,Spain,2026,28296.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,21000.0,ES,Spain,2026,22680.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,28800.0,ES,Spain,2026,31104.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,27100.0,ES,Spain,2026,29268.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23300.0,ES,Spain,2026,25164.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23000.0,ES,Spain,2026,24840.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23000.0,ES,Spain,2026,24840.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23900.0,ES,Spain,2026,25812.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25100.0,ES,Spain,2026,27108.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,24600.0,ES,Spain,2026,26568.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23800.0,ES,Spain,2026,25704.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25600.0,ES,Spain,2026,27648.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22600.0,ES,Spain,2026,24408.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23800.0,ES,Spain,2026,25704.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,24300.0,ES,Spain,2026,26244.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,24800.0,ES,Spain,2026,26784.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,26700.0,ES,Spain,2026,28836.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23200.0,ES,Spain,2026,25056.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25100.0,ES,Spain,2026,27108.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25500.0,ES,Spain,2026,27540.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,21500.0,ES,Spain,2026,23220.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25600.0,ES,Spain,2026,27648.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22900.0,ES,Spain,2026,24732.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,21800.0,ES,Spain,2026,23544.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,28400.0,ES,Spain,2026,30672.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,28700.0,ES,Spain,2026,30996.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,26900.0,ES,Spain,2026,29052.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23900.0,ES,Spain,2026,25812.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22200.0,ES,Spain,2026,23976.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,26000.0,ES,Spain,2026,28080.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,24700.0,ES,Spain,2026,26676.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,22500.0,ES,Spain,2026,24300.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25000.0,ES,Spain,2026,27000.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,21300.0,ES,Spain,2026,23004.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,27900.0,ES,Spain,2026,30132.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23600.0,ES,Spain,2026,25488.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25900.0,ES,Spain,2026,27972.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23900.0,ES,Spain,2026,25812.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25100.0,ES,Spain,2026,27108.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,25200.0,ES,Spain,2026,27216.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Junior,23000.0,ES,Spain,2026,24840.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,38900.0,ES,Spain,2026,42012.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37000.0,ES,Spain,2026,39960.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,38400.0,ES,Spain,2026,41472.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37900.0,ES,Spain,2026,40932.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36000.0,ES,Spain,2026,38880.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,38200.0,ES,Spain,2026,41256.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32900.0,ES,Spain,2026,35532.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33800.0,ES,Spain,2026,36504.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32400.0,ES,Spain,2026,34992.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34600.0,ES,Spain,2026,37368.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35000.0,ES,Spain,2026,37800.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34300.0,ES,Spain,2026,37044.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37400.0,ES,Spain,2026,40392.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34800.0,ES,Spain,2026,37584.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34400.0,ES,Spain,2026,37152.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35700.0,ES,Spain,2026,38556.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33400.0,ES,Spain,2026,36072.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37200.0,ES,Spain,2026,40176.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32700.0,ES,Spain,2026,35316.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,39300.0,ES,Spain,2026,42444.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37000.0,ES,Spain,2026,39960.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33800.0,ES,Spain,2026,36504.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,31500.0,ES,Spain,2026,34020.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37300.0,ES,Spain,2026,40284.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36600.0,ES,Spain,2026,39528.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36700.0,ES,Spain,2026,39636.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37000.0,ES,Spain,2026,39960.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32700.0,ES,Spain,2026,35316.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34800.0,ES,Spain,2026,37584.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33200.0,ES,Spain,2026,35856.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37600.0,ES,Spain,2026,40608.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36100.0,ES,Spain,2026,38988.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34700.0,ES,Spain,2026,37476.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32600.0,ES,Spain,2026,35208.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34500.0,ES,Spain,2026,37260.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34600.0,ES,Spain,2026,37368.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36700.0,ES,Spain,2026,39636.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36200.0,ES,Spain,2026,39096.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37900.0,ES,Spain,2026,40932.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35400.0,ES,Spain,2026,38232.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33200.0,ES,Spain,2026,35856.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36600.0,ES,Spain,2026,39528.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36900.0,ES,Spain,2026,39852.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35800.0,ES,Spain,2026,38664.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37000.0,ES,Spain,2026,39960.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35500.0,ES,Spain,2026,38340.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35600.0,ES,Spain,2026,38448.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35200.0,ES,Spain,2026,38016.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32000.0,ES,Spain,2026,34560.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33100.0,ES,Spain,2026,35748.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32100.0,ES,Spain,2026,34668.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36200.0,ES,Spain,2026,39096.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34600.0,ES,Spain,2026,37368.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35500.0,ES,Spain,2026,38340.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,38100.0,ES,Spain,2026,41148.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34200.0,ES,Spain,2026,36936.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35100.0,ES,Spain,2026,37908.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36900.0,ES,Spain,2026,39852.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34000.0,ES,Spain,2026,36720.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,32800.0,ES,Spain,2026,35424.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,34400.0,ES,Spain,2026,37152.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33600.0,ES,Spain,2026,36288.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,38300.0,ES,Spain,2026,41364.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37200.0,ES,Spain,2026,40176.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,36100.0,ES,Spain,2026,38988.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37700.0,ES,Spain,2026,40716.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37200.0,ES,Spain,2026,40176.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,33700.0,ES,Spain,2026,36396.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,37900.0,ES,Spain,2026,40932.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Mid,35700.0,ES,Spain,2026,38556.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,47200.0,ES,Spain,2026,50976.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,47900.0,ES,Spain,2026,51732.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,44600.0,ES,Spain,2026,48168.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,43100.0,ES,Spain,2026,46548.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,44000.0,ES,Spain,2026,47520.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,45200.0,ES,Spain,2026,48816.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,47300.0,ES,Spain,2026,51084.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,47600.0,ES,Spain,2026,51408.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,41500.0,ES,Spain,2026,44820.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,45500.0,ES,Spain,2026,49140.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,45100.0,ES,Spain,2026,48708.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,44000.0,ES,Spain,2026,47520.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,43200.0,ES,Spain,2026,46656.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,44700.0,ES,Spain,2026,48276.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,48500.0,ES,Spain,2026,52380.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,44600.0,ES,Spain,2026,48168.0,Manfred 2026
Manfred 2026,Backend Engineer,Backend Engineer,Senior,45600.0,ES,Spain,2026,49248.0,Manfred 2026
