idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
0,Data Scientist,Mediktor,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
1,Analista de datos,Gift Campaign,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,False,False,28590.0
2,Científico de datos,KH Lloreda,Catalonia,Catalonia,backend,Mid,38130.55,1.0741,False,False,28590.0
3,Data Scientist,ByRatings,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
4,Data Governance Analyst,Zurich Insurance,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
5,Data Analyst,Data Analyst,,Total Nacional,data_analyst,Mid,36500.0,1.0,True,False,
6,Data Scientist – Marketing & Network Analytics,King,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
7,Principal Applied & Data Scientist,Microsoft,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
8,Analista de Datos Power BI.,Onclusive,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
9,Game Data Scientist/Analyst - Barcelona Gaming Giant,Touchpoint Resource Ltd,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
10,Gerente de Auditoría de sistemas de información y analista de datos,Grant Thornton España,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,False,False,28590.0
11,Data Analyst,SDG Group Iberia,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
12,Pricing Data Analyst,MANGO,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
13,"Global Analytics, Data and Automation Scientist",Alcon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
14,Data Scientist,Ocado Technology,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
15,"Data Scientist, Software Development-ESP",CloudBlue,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,True,28590.0
16,Data Scientist - Digital Finance Hub,Novartis España,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
17,Data Scientist,Chi Square Analytics,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
18,Advanced Analytics Analyst,Sanofi,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
19,Data Analyst - Routing (GlovoMaps),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
20,Data Scientist,Siemens Energy,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
21,Product Data Scientist,Preply,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
22,Data Scientist (m/f/d),ZF Group,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
23,Data Scientist,eDreams ODIGEO,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
24,Data Scientist,Kraz (Viko Group),Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
25,Data & Applied Scientist II - WebXT,Microsoft,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
26,Data Scientist - Eternal Games,King,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
27,"Global Analytics, Data and Automation Scientist",Alcon,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
28,Data Scientist,Sanofi,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
29,Data analyst,Sanofi,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
