title,location_normalized,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,regional_multiplier
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Analista de datos,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Científico de datos,"canovelles, cataluña, españa",data_scientist,Mid,Total Nacional,42000.0,1.0
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Governance Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"co business reporting & analytics, meta, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Scientist – Marketing & Network Analytics,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Principal Applied & Data Scientist,"barcelona, cataluña, españa",data_scientist,Senior,Cataluna,67131.25,1.0741
Analista de Datos Power BI.,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Game Data Scientist/Analyst - Barcelona Gaming Giant,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Gerente de Auditoría de sistemas de información y analista de datos,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Pricing Data Analyst,"palau-solità i plegamans, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
"Global Analytics,Data and Automation Scientist","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
"Data Scientist,Software Development-ESP","barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist - Digital Finance Hub,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Advanced Analytics Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Routing (GlovoMaps),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Product Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist (m/f/d),"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data & Applied Scientist II - WebXT,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist - Eternal Games,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
"Global Analytics,Data and Automation Scientist","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analytics,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist,barcelona y alrededores,data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist (Experimentation),"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
DATA SCIENTIST,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist Intern,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Analista Predictivo/a,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Scientist,"lliçà d'amunt, cataluña, españa",data_scientist,Mid,Total Nacional,42000.0,1.0
Auditor/a Junior de Sistemas de información y Analista de Datos,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Actuario Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist - Casual Games,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Analista de Datos,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
"Data Scientist,Marketing","barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist Personalization,"palau-solità i plegamans, cataluña, españa",data_scientist,Mid,Total Nacional,42000.0,1.0
Energy Markets Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Scientist / BI Consultant,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Mgmt Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Game Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Junior Business Intelligence Support Specialist,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Business/Data Analyst (Power BI),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Consultor Junior Business Intelligence & Analytics,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Analyst Expert,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Junior Data Engineer,barcelona y alrededores,data_engineer,Junior,Cataluna,33297.1,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Big Data Engineer,españa,data_engineer,Mid,Total Nacional,43500.0,1.0
Data Scientist,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Analyst - Partners & Brands (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Privacy Operations Data Analyst,"sant cugat del vallès, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Analista Predictivo,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Partner Ops Excellence (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Reporting Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"palau-solità i plegamans, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst - Fraud (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Reporting Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Reporting Data Analyst/Developer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst (Power BI & SQL),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Consultor BI Microsoft,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
GO! Graduate IoT & Data Analysis,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst - vpTech Data team,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Analist funcional BI,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data Analyst (m|f|d) at Dein Traumjob wartet!,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Analyst - Scheduling (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Game Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Desarrollador Big Data (Girona),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Incubation Senior Finance & Data Analyst,"sant cugat del vallès, cataluña, españa",data_analyst,Senior,Total Nacional,49000.0,1.0
GO! Graduate IT & Data Analysis,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Analyst - A/B testing,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Master Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer (They/He/She),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Quantitative Analyst,"barcelona, cataluña, españa",backend,Senior,Cataluna,51556.8,1.0741
Finance Data Analyst (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data analyst - Food Solutions (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Qcommerce - Sales,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Mid / Senior Data Analyst - Central Data team,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data & Insights Analyst,"esplugues de llobregat, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
"DATA ANALYST – We have tons of data,what can you do with it ?","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
