country_code,country_name,year,gdp_meur
AL,AL,1995,2217.9
AL,AL,1996,2548.1
AL,AL,1997,1998.1
AL,AL,1998,2330.5
AL,AL,1999,3086.0
AL,AL,2000,3893.5
AL,AL,2001,4539.0
AL,AL,2002,4789.5
AL,AL,2003,5095.7
AL,AL,2004,5956.3
AL,AL,2005,6639.8
AL,AL,2006,7293.6
AL,AL,2007,8131.4
AL,AL,2008,9058.0
AL,AL,2009,8871.8
AL,AL,2010,9117.0
AL,AL,2011,9328.0
AL,AL,2012,9528.7
AL,AL,2013,9641.0
AL,AL,2014,10020.0
AL,AL,2015,10339.2
AL,AL,2016,10835.1
AL,AL,2017,11770.8
AL,AL,2018,13016.9
AL,AL,2019,13917.9
AL,AL,2020,13379.5
AL,AL,2021,15243.1
AL,AL,2022,18068.1
AL,AL,2023,21730.5
AL,AL,2024,25000.7
AT,Austria,1995,183629.2
AT,Austria,1996,185944.9
AT,Austria,1997,186913.0
AT,Austria,1998,193947.0
AT,Austria,1999,203064.9
AT,Austria,2000,212406.8
AT,Austria,2001,219373.3
AT,Austria,2002,225087.9
AT,Austria,2003,230541.9
AT,Austria,2004,240541.7
AT,Austria,2005,252354.9
AT,Austria,2006,265933.7
AT,Austria,2007,282208.2
AT,Austria,2008,291846.2
AT,Austria,2009,286274.1
AT,Austria,2010,294050.6
AT,Austria,2011,308167.0
AT,Austria,2012,316589.4
AT,Austria,2013,321191.7
AT,Austria,2014,330113.5
AT,Austria,2015,342083.5
AT,Austria,2016,355665.6
AT,Austria,2017,367294.9
AT,Austria,2018,383234.3
AT,Austria,2019,395706.8
AT,Austria,2020,380317.9
AT,Austria,2021,406231.5
AT,Austria,2022,449382.2
AT,Austria,2023,477837.3
AT,Austria,2024,494087.6
AT,Austria,2025,514328.1
BA,BA,2000,6043.3
BA,BA,2001,6482.2
BA,BA,2002,7149.1
BA,BA,2003,7530.3
BA,BA,2004,8179.7
BA,BA,2005,9024.5
BA,BA,2006,10255.1
BA,BA,2007,11528.5
BA,BA,2008,13047.8
BA,BA,2009,12679.3
BA,BA,2010,12968.9
BA,BA,2011,13411.8
BA,BA,2012,13407.5
BA,BA,2013,13691.8
BA,BA,2014,13988.3
BA,BA,2015,14791.1
BA,BA,2016,15474.3
BA,BA,2017,16260.5
BA,BA,2018,17354.2
BA,BA,2019,18296.5
BA,BA,2020,17755.9
BA,BA,2021,20014.7
BA,BA,2022,23324.1
BA,BA,2023,25523.8
BA,BA,2024,27483.1
BE,Belgium,1995,220251.5
