country_code,country_name,year,population
AD,AD,1986,44593.0
AD,AD,1987,46976.0
AD,AD,1988,48451.0
AD,AD,1989,50528.0
AD,AD,1990,50887.0
AD,AD,1991,54507.0
AD,AD,1992,59048.0
AD,AD,1993,61599.0
AD,AD,1994,65226.0
AD,AD,1995,64311.0
AD,AD,1996,63859.0
AD,AD,1997,64479.0
AD,AD,1998,65306.0
AD,AD,1999,65877.0
AD,AD,2000,65971.0
AD,AD,2001,65844.0
AD,AD,2002,66334.0
AD,AD,2003,67159.0
AD,AD,2004,72320.0
AD,AD,2005,76875.0
AD,AD,2006,78549.0
AD,AD,2007,81222.0
AD,AD,2008,83137.0
AD,AD,2009,84484.0
AD,AD,2010,84082.0
AD,AD,2011,78115.0
AD,AD,2012,78115.0
AD,AD,2013,76246.0
AD,AD,2019,76177.0
AL,AL,1960,1583800.0
AL,AL,1961,1633800.0
AL,AL,1962,1685800.0
AL,AL,1963,1736838.0
AL,AL,1964,1788404.0
AL,AL,1965,1839866.0
AL,AL,1966,1889715.0
AL,AL,1967,1939430.0
AL,AL,1968,1991765.0
AL,AL,1969,2052778.0
AL,AL,1970,2110612.0
AL,AL,1971,2160345.0
AL,AL,1972,2215361.0
AL,AL,1973,2270891.0
AL,AL,1974,2322613.0
AL,AL,1975,2377635.0
AL,AL,1976,2432027.0
AL,AL,1977,2485025.0
AL,AL,1978,2542066.0
AL,AL,1979,2590466.0
AL,AL,1980,2645198.0
AL,AL,1981,2698795.0
AL,AL,1982,2753316.0
AL,AL,1983,2815239.0
AL,AL,1984,2872681.0
AL,AL,1985,2936177.0
AL,AL,1986,2993347.0
AL,AL,1987,3051923.0
AL,AL,1988,3115286.0
AL,AL,1989,3169386.0
AL,AL,1990,3286500.0
AL,AL,1991,3259814.0
AL,AL,1992,3190103.0
AL,AL,1993,3167478.0
AL,AL,1994,3220310.0
AL,AL,1995,3248836.0
AL,AL,1996,3283000.0
AL,AL,1997,3324317.0
AL,AL,1998,3354341.0
AL,AL,1999,3373445.0
AL,AL,2000,3058497.0
AL,AL,2001,3063318.0
AL,AL,2002,3057018.0
AL,AL,2003,3044993.0
AL,AL,2004,3034231.0
AL,AL,2005,3019634.0
AL,AL,2006,3003329.0
AL,AL,2007,2981755.0
AL,AL,2008,2958266.0
AL,AL,2009,2936355.0
AL,AL,2010,2918674.0
AL,AL,2011,2907361.0
AL,AL,2012,2903008.0
AL,AL,2013,2897770.0
AL,AL,2014,2892394.0
AL,AL,2015,2885796.0
AL,AL,2016,2875592.0
AL,AL,2017,2876591.0
AL,AL,2018,2870324.0
AL,AL,2019,2862427.0
AL,AL,2020,2845955.0
AL,AL,2021,2829741.0
AL,AL,2022,2793592.0
AL,AL,2023,2761785.0
AL,AL,2025,2363314.0
AM,AM,2000,3226900.0
AM,AM,2001,3215300.0
AM,AM,2002,3212900.0
AM,AM,2003,3210300.0
AM,AM,2004,3212200.0
AM,AM,2005,3215800.0
AM,AM,2006,3219234.0
AM,AM,2007,3222953.0
AM,AM,2008,3230086.0
AM,AM,2009,3237976.0
AM,AM,2010,3249482.0
AM,AM,2011,3262650.0
AM,AM,2012,3274285.0
AM,AM,2015,3010598.0
AM,AM,2016,2998577.0
AM,AM,2017,2986151.0
AM,AM,2018,2972732.0
AM,AM,2019,2965269.0
AM,AM,2020,2959694.0
AM,AM,2021,2963251.0
AM,AM,2023,2977130.0
AM,AM,2024,2991201.0
AT,Austria,1960,7030385.0
AT,Austria,1961,7064693.0
AT,Austria,1962,7107904.0
AT,Austria,1963,7151824.0
AT,Austria,1964,7199798.0
AT,Austria,1965,7247804.0
AT,Austria,1966,7293973.0
AT,Austria,1967,7350159.0
AT,Austria,1968,7403837.0
AT,Austria,1969,7426968.0
AT,Austria,1970,7455142.0
AT,Austria,1971,7479030.0
AT,Austria,1972,7521933.0
AT,Austria,1973,7566469.0
AT,Austria,1974,7605760.0
AT,Austria,1975,7592316.0
AT,Austria,1976,7565489.0
AT,Austria,1977,7565561.0
AT,Austria,1978,7571299.0
AT,Austria,1979,7553310.0
AT,Austria,1980,7545539.0
AT,Austria,1981,7553326.0
AT,Austria,1982,7584094.0
AT,Austria,1983,7564185.0
AT,Austria,1984,7559635.0
AT,Austria,1985,7563233.0
AT,Austria,1986,7566736.0
AT,Austria,1987,7572852.0
AT,Austria,1988,7576319.0
AT,Austria,1989,7594315.0
AT,Austria,1990,7644818.0
AT,Austria,1991,7710882.0
AT,Austria,1992,7798899.0
AT,Austria,1993,7882519.0
AT,Austria,1994,7928746.0
AT,Austria,1995,7943489.0
AT,Austria,1996,7953067.0
AT,Austria,1997,7964966.0
AT,Austria,1998,7971116.0
AT,Austria,1999,7982461.0
AT,Austria,2000,8002186.0
AT,Austria,2001,8020946.0
AT,Austria,2002,8063640.0
AT,Austria,2003,8100273.0
AT,Austria,2004,8142573.0
AT,Austria,2005,8201359.0
AT,Austria,2006,8254298.0
AT,Austria,2007,8282984.0
AT,Austria,2008,8307989.0
AT,Austria,2009,8335003.0
AT,Austria,2010,8351643.0
AT,Austria,2011,8375164.0
AT,Austria,2012,8408121.0
AT,Austria,2013,8451860.0
AT,Austria,2014,8507786.0
AT,Austria,2015,8584926.0
AT,Austria,2016,8700471.0
AT,Austria,2017,8772865.0
AT,Austria,2018,8822267.0
AT,Austria,2019,8858775.0
AT,Austria,2020,8901064.0
AT,Austria,2021,8932664.0
AT,Austria,2022,8978929.0
AT,Austria,2023,9104772.0
AT,Austria,2024,9158750.0
AT,Austria,2025,9197213.0
AZ,AZ,2000,8016200.0
AZ,AZ,2001,8081000.0
AZ,AZ,2002,8141400.0
AZ,AZ,2003,8202500.0
AZ,AZ,2004,8265700.0
AZ,AZ,2005,8347300.0
AZ,AZ,2006,8436400.0
AZ,AZ,2007,8532700.0
AZ,AZ,2008,8629900.0
AZ,AZ,2009,8896900.0
AZ,AZ,2010,8997586.0
AZ,AZ,2011,9111078.0
AZ,AZ,2012,9235085.0
AZ,AZ,2013,9356483.0
AZ,AZ,2014,9477119.0
AZ,AZ,2015,9593038.0
