country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
AL,1995,2217.9,3248836.0,AL,682.675272005112,737.289293765521,,0.0506
AL,1996,2548.1,3283000.0,AL,776.1498629302467,838.2418519646666,,0.0548
AL,1997,1998.1,3324317.0,AL,601.0557958221192,649.1402594878888,,0.0402
AL,1998,2330.5,3354341.0,AL,694.7713425677354,750.3530499731543,,0.0444
AL,1999,3086.0,3373445.0,AL,914.7918522459978,987.9752004256777,,0.0562
AL,2000,3893.5,3058497.0,AL,1273.0108939129252,1374.8517654259592,,0.077
AL,2001,4539.0,3063318.0,AL,1481.726676760297,1600.2648109011209,,0.0866
AL,2002,4789.5,3057018.0,AL,1566.722865223561,1692.060694441446,,0.0875
AL,2003,5095.7,3044993.0,AL,1673.4685432774395,1807.3460267396347,,0.0916
AL,2004,5956.3,3034231.0,AL,1963.034455847297,2120.077212315081,,0.102
AL,2005,6639.8,3019634.0,AL,2198.8757577905135,2374.785818413755,,0.1069
AL,2006,7293.6,3003329.0,AL,2428.5051687643945,2622.785582265546,,0.113
AL,2007,8131.4,2981755.0,AL,2727.051686003713,2945.21582088401,,0.1183
AL,2008,9058.0,2958266.0,AL,3061.9288461551464,3306.8831538475583,,0.1341
AL,2009,8871.8,2936355.0,AL,3021.364923519125,3263.0741174006553,,0.1418
AL,2010,9117.0,2918674.0,AL,3123.678766453533,3373.573067769816,,0.1387
AL,2011,9328.0,2907361.0,AL,3208.4078998101713,3465.0805317949853,,0.1356
AL,2012,9528.7,2903008.0,AL,3282.354027271024,3544.942349452706,,0.1333
AL,2013,9641.0,2897770.0,AL,3327.0411385306634,3593.2044296131166,,0.1181
AL,2014,10020.0,2892394.0,AL,3464.258327185024,3741.3989933598264,,0.123
AL,2015,10339.2,2885796.0,AL,3582.789635857836,3869.4128067264633,,0.12
AL,2016,10835.1,2875592.0,AL,3767.954563790691,4069.3909288939462,,0.1268
AL,2017,11770.8,2876591.0,AL,4091.9268676012684,4419.28101700937,,0.1323
AL,2018,13016.9,2870324.0,AL,4534.9932620846985,4897.792723051474,,0.1429
AL,2019,13917.9,2862427.0,AL,4862.272470180025,5251.2542677944275,,0.1488
AL,2020,13379.5,2845955.0,AL,4701.233856473486,5077.332564991366,,0.1497
AL,2021,15243.1,2829741.0,AL,5386.747409038495,5817.687201761575,,0.1526
AL,2022,18068.1,2793592.0,AL,6467.694638300797,6985.1102093648615,,0.1644
