dataset,job_title,role_normalized,seniority,salary_usd,country,country_name,year_x,source,country_eurostat,year_int,country_code,year_y,gdp_per_capita_usd,ppp_rate,salary_ppp_usd
LinkedIn,intern- business analytics,Data General,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data architect,Data Architect,,,US,United States,2024,,US,2024,,,,,
LinkedIn,enterprise data & analytics infrastructure manager,Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr data engineer with kafka,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,cloud platform/ big data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer/etl,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer/analyst - full time,Data Engineer,Senior,216320.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning research engineer,ML Engineer,Senior,250000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,ecommerce data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,azure data engineer (full time),Data Engineer,,120000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,digital analyst (google analytics),Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior analyst, data & analytics",Data General,Senior,91500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,azure data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,wealth management business data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,generative ai engineer,AI Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,avp/vp of advanced analytics,Data General,VP,,US,United States,2024,,US,2024,,,,,
LinkedIn,workforce strategy and analytics consultant (321719),Data General,,93600.0,US,United States,2024,,US,2024,,,,,
LinkedIn,gcp data engineer (only w2),Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data analyst - ai training (remote, contract)",Data Analyst,Senior,114400.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence analyst,BI Analyst,,63500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist job,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence developer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior risk analytics associate,Data General,Senior,107500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analytics engineer,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,110000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,onsite data analyst || usc only || fl locals,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. procurement data analyst,Data Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior etl data engineer - reinsurance - remote,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,hybrid - data & analytics manager (information technology manager 1),Data Analyst,Manager,109387.2,US,United States,2024,,US,2024,,,,,
LinkedIn,junior configuration/data manager,Data Manager,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal commercial analytics,Data General,Principal,,US,United States,2024,,US,2024,,,,,
LinkedIn,design data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior p&c analytics actuary - pr12617,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence developer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,manager of health analytics,Data General,Manager,156880.435,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst - expert with excel,Data Analyst,,80080.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data architect,Data Architect,,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence engineer ii,BI Analyst,Mid,120640.0,US,United States,2024,,US,2024,,,,,
LinkedIn,legal data analyst (dallas/chicago),Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence engineer ii,BI Analyst,Mid,120640.0,US,United States,2024,,US,2024,,,,,
LinkedIn,crash data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,experienced compliance review - analytics support,Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,83200.0,US,United States,2024,,US,2024,,,,,
LinkedIn,research data analyst 1 (75% fte/hybrid opportunity),Data Analyst,,60555.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer (sap ecc to hana migration),Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"analyst sr, digital product analytics",Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,chief data engineer,Data Engineer,,199500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,140000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,lead development and analytics engineer,Data Analyst,Lead,150000.0,US,United States,2024,,US,2024,,,,,
