Title,Experience Level,Remote Status,Normalized Salary,Views,Applies,Location,Company Name,Formatted Work Type,Formatted Experience Level,Max Salary,Med Salary,Min Salary,Pay Period,Currency,Zip Code,Fips,City,Original Listed Time
intern- business analytics,Unknown,Unknown,,5.0,,greensboro--winston-salem--high point area,lt apparel group,Temporary,,,,,,,,,greensboro--winston-salem--high point area,1712862491000.0
data architect,Unknown,Unknown,,7.0,1.0,"san francisco, ca",saxon ai,Contract,,,,,,,94101.0,6075.0,san francisco,1713536822000.0
enterprise data & analytics infrastructure manager,Unknown,Unknown,,30.0,1.0,"cleveland, oh",keybank,Full-time,,,,,,,44102.0,39035.0,cleveland,1713451518000.0
sr data engineer with kafka,Unknown,Remote,,39.0,10.0,"austin, tx",zenithminds inc,Full-time,,,,,,,78701.0,48453.0,austin,1713208673000.0
cloud platform/ big data engineer,Entry Level,Unknown,,7.0,1.0,"michigan, united states","subaru research and development, inc",Full-time,Entry level,,,,,,,,michigan,1713553054000.0
data engineer/etl,Unknown,Unknown,,39.0,12.0,"hartford, ct",silverspace technologies inc,Contract,,,,,,,6101.0,9003.0,hartford,1713533813000.0
data analyst,Unknown,Unknown,,4.0,,"queens, ny",tenazx inc,Contract,,,,,,,11427.0,36081.0,queens,1713465279000.0
senior data engineer/analyst - full time,Unknown,Remote,216320.0,38.0,18.0,"california, united states",,Full-time,,107.0,,101.0,HOURLY,USD,,,california,1709736254000.0
senior machine learning research engineer,Unknown,Unknown,250000.0,12.0,,san francisco bay area,symbolica ai,Full-time,,350000.0,,150000.0,YEARLY,USD,,,san francisco bay area,1712669599000.0
machine learning engineer,Unknown,Unknown,,22.0,8.0,"dallas, tx",nlb services,Full-time,,,,,,,75201.0,48113.0,dallas,1712669525000.0
ecommerce data analyst,Unknown,Remote,,102.0,,united states,radiant systems inc,Contract,,,,,,,,,united states,1713277624000.0
azure data engineer (full time),Mid-Senior,Unknown,120000.0,40.0,11.0,"arlington, va",publicis sapient,Full-time,Mid-Senior level,145000.0,,95000.0,YEARLY,USD,22201.0,51013.0,arlington,1712346379000.0
digital analyst (google analytics),Unknown,Remote,,128.0,37.0,united states,advaana inc,Full-time,,,,,,,,,united states,1712350881000.0
"senior analyst, data & analytics",Mid-Senior,Unknown,91500.0,40.0,13.0,los angeles metropolitan area,quigley-simpson,Full-time,Mid-Senior level,93000.0,,90000.0,YEARLY,USD,,,los angeles metropolitan area,1712347901000.0
azure data engineer,Unknown,Unknown,,16.0,5.0,"seattle, wa","econtenti, inc",Full-time,,,,,,,98101.0,53033.0,seattle,1712346690000.0
wealth management business data analyst,Unknown,Unknown,,8.0,,"charlotte, nc",mcubesoft,Full-time,,,,,,,28202.0,37119.0,charlotte,1712346408000.0
generative ai engineer,Mid-Senior,Unknown,,33.0,5.0,"jersey city, nj",ehub global inc,Contract,Mid-Senior level,,,,,,7302.0,34017.0,jersey city,1712348434000.0
avp/vp of advanced analytics,Executive,Unknown,,5.0,,"cincinnati, oh",great american insurance group,Full-time,Executive,,,,,,45202.0,39061.0,cincinnati,1712347174000.0
workforce strategy and analytics consultant (321719),Mid-Senior,Remote,93600.0,149.0,22.0,united states,"idr, inc.",Contract,Mid-Senior level,50.0,,40.0,HOURLY,USD,,,united states,1712347599000.0
gcp data engineer (only w2),Mid-Senior,Remote,,78.0,33.0,"sterling, va",techwish,Contract,Mid-Senior level,,,,,,20164.0,,sterling,1712347999000.0
"senior data analyst - ai training (remote, contract)",Mid-Senior,Remote,114400.0,258.0,61.0,united states,outlier,Contract,Mid-Senior level,,55.0,,HOURLY,USD,,,united states,1712349342000.0
business intelligence analyst,Associate,Unknown,63500.0,83.0,30.0,"fishers, in",insight global,Full-time,Associate,67000.0,,60000.0,YEARLY,USD,46037.0,,fishers,1712346843000.0
data engineer,Unknown,Unknown,,102.0,54.0,"philadelphia, pa",skyzen technologies llc,Contract,,,,,,,19102.0,42101.0,philadelphia,1712347842000.0
data scientist job,Entry Level,Remote,,164.0,62.0,united states,armstrong world industries,Full-time,Entry level,,,,,,,,united states,1712347699000.0
business intelligence developer,Unknown,Remote,,12.0,,united states,diverse lynx,Full-time,,,,,,,,,united states,1712349125000.0
senior risk analytics associate,Mid-Senior,Unknown,107500.0,39.0,9.0,"new york, ny",social capital resources,Full-time,Mid-Senior level,115000.0,,100000.0,YEARLY,USD,10001.0,36061.0,new york,1712349399000.0
analytics engineer,Unknown,Remote,,177.0,49.0,united states,switch rcm,Full-time,,,,,,,,,united states,1712350342000.0
data engineer,Mid-Senior,Remote,110000.0,260.0,102.0,united states,robert half,Full-time,Mid-Senior level,120000.0,,100000.0,YEARLY,USD,,,united states,1712349364000.0
onsite data analyst || usc only || fl locals,Unknown,Unknown,,44.0,9.0,"jacksonville, fl",usctek - recruiting & staffing,Contract,,,,,,,32099.0,12031.0,jacksonville,1712350655000.0
sr. procurement data analyst,Unknown,Unknown,,31.0,5.0,"phoenix, az",republic services,Full-time,,,,,,,85003.0,4013.0,phoenix,1712275200000.0
senior etl data engineer - reinsurance - remote,Mid-Senior,Remote,,203.0,58.0,united states,avesta computer services,Full-time,Mid-Senior level,,,,,,,,united states,1712350233000.0
hybrid - data & analytics manager (information technology manager 1),Mid-Senior,Unknown,109387.2,22.0,,"columbus, oh",ohio department of mental health & addiction services,Full-time,Mid-Senior level,61.89,,43.29,HOURLY,USD,43085.0,39049.0,columbus,1712350356000.0
junior configuration/data manager,Entry Level,Unknown,,9.0,,"dayton, oh",odyssey systems,Full-time,Entry level,,,,,,45400.0,,dayton,1712350516000.0
principal commercial analytics,Associate,Remote,,46.0,8.0,"new york, ny",eversana,Full-time,Associate,,,,,,10001.0,36061.0,new york,1712350659000.0
design data analyst,Unknown,Unknown,,167.0,61.0,"san francisco, ca",a.g. kunz llc,Full-time,,,,,,,94101.0,6075.0,san francisco,1712349420000.0
senior p&c analytics actuary - pr12617,Mid-Senior,Unknown,,3.0,,new york city metropolitan area,pryor associates executive search,Full-time,Mid-Senior level,,,,,,,,new york city metropolitan area,1712349115000.0
business intelligence developer,Unknown,Unknown,,144.0,35.0,"dallas, tx",leap metrics,Full-time,,,,,,,75201.0,48113.0,dallas,1712351171000.0
manager of health analytics,Mid-Senior,Unknown,156880.435,22.0,4.0,"fairfield, ca",partnership healthplan of california,Full-time,Mid-Senior level,180245.31,,133515.56,YEARLY,USD,94533.0,6095.0,fairfield,1712349793000.0
data analyst - expert with excel,Mid-Senior,Unknown,80080.0,186.0,72.0,"auburn hills, mi",optech,Contract,Mid-Senior level,42.0,,35.0,HOURLY,USD,48326.0,,auburn hills,1712350676000.0
data architect,Mid-Senior,Unknown,,41.0,8.0,"louisville, ky",photon,Contract,Mid-Senior level,,,,,,40202.0,21111.0,louisville,1712350579000.0
business intelligence engineer ii,Associate,Unknown,120640.0,54.0,12.0,"westborough, ma",tekwissen ®,Contract,Associate,58.0,,58.0,HOURLY,USD,1581.0,25027.0,westborough,1712351180000.0
legal data analyst (dallas/chicago),Associate,Unknown,,134.0,26.0,"chicago, il",cbre,Full-time,Associate,,,,,,60601.0,17031.0,chicago,1712351362000.0
business intelligence engineer ii,Associate,Unknown,120640.0,63.0,14.0,"seattle, wa",tekwissen ®,Contract,Associate,58.0,,58.0,HOURLY,USD,98101.0,53033.0,seattle,1712351342000.0
crash data analyst,Entry Level,Unknown,,13.0,3.0,"phoenix, az",maricopa county,Full-time,Entry level,,,,,,85003.0,4013.0,phoenix,1712368303000.0
