Dataset,Source,Role,Experience_Level,Salary_USD,Salary_EUR,Views,Applies,Remote,Work_Type,Location,Company,Country
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"canovelles, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"co business reporting & analytics, meta, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"palau-solità i plegamans, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,62100.00000000001,57500.0,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,barcelona y alrededores,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"lliçà d'amunt, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"palau-solità i plegamans, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Junior,,,,,Unknown,Full-time,barcelona y alrededores,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"sant cugat del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"palau-solità i plegamans, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"sant cugat del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"esplugues de llobregat, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Senior,,,,,Unknown,Full-time,"sant cugat del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"el prat de llobregat, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,barcelona y alrededores,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,mobile,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"sant cugat del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,backend,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"sant cugat del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Senior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,españa,,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_scientist,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Junior,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_engineer,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"cerdanyola del vallès, cataluña, españa",,Spain
Spain_Real,INE + Manfred + Tecnoempleo,data_analyst,Mid,,,,,Unknown,Full-time,"barcelona, cataluña, españa",,Spain
