idx,title,company,location,time_ago,horari,salary_min_raw,salary_max_raw,job_type,experience,salario_min_anual,salario_max_anual,salario_medio_anual,is_data,is_it_software,is_tech,region,location_normalized,gdp_per_capita,total_remote_jobs,remote_share,premium_salarial_regional,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,ine_tech_avg_2024,regional_multiplier,poblacion_ccaa_2026
0,Data Scientist,Mediktor,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
1,Analista de datos,Gift Campaign,"Barcelona, Cataluña, España",hace 6 días,Jornada completa,,,Jornada completa,,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
2,Científico de datos,KH Lloreda,"Canovelles, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,False,False,False,Catalonia,"canovelles, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Total Nacional,42000.0,42741.94,1.0,49570725
3,Data Scientist,ByRatings,"Barcelona, Cataluña, España",hace 3 meses,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
4,Data Governance Analyst,Zurich Insurance,"Barcelona, Cataluña, España",hace 5 horas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
5,Data Analyst,Data Analyst,"CO Business Reporting & Analytics, Meta, España",hace 10 horas,Jornada completa,,,Jornada completa,,,,,True,False,True,,"co business reporting & analytics, meta, españa",,,,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
6,Data Scientist – Marketing & Network Analytics,King,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
7,Principal Applied & Data Scientist,Microsoft,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Senior,Cataluna,67131.25,42741.94,1.0741,8208894
8,Analista de Datos Power BI.,Onclusive,"Barcelona, Cataluña, España",hace 4 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
9,Game Data Scientist/Analyst - Barcelona Gaming Giant,Touchpoint Resource Ltd,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
