fuente,rol,experiencia,rango_salarial,pais
Manfred 2026,Backend Engineer,<2 años,€20–30K,Espana
Manfred 2026,Backend Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Backend Engineer,5-10 años,€41–50K,Espana
Manfred 2026,Backend Engineer,>10 años,€51-55K,Espana
Manfred 2026,Frontend Engineer,<2 años,€20–30K,Espana
Manfred 2026,Frontend Engineer,2-5 años,€31–35K,Espana
Manfred 2026,Frontend Engineer,5-10 años,€35–40K,Espana
Manfred 2026,Frontend Engineer,>10 años,€40-50K,Espana
Manfred 2026,Full-Stack Engineer,<2 años,€20–30K,Espana
Manfred 2026,Full-Stack Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Full-Stack Engineer,5-10 años,€41–50K,Espana
Manfred 2026,Full-Stack Engineer,>10 años,€51-60K,Espana
Manfred 2026,AI Engineer,<2 años,€25–35K,Espana
Manfred 2026,AI Engineer,2-5 años,€36–50K,Espana
Manfred 2026,AI Engineer,5-10 años,€51–70K,Espana
Manfred 2026,AI Engineer,>10 años,€71-90K,Espana
Manfred 2026,Mobile Engineer,<2 años,€20–30K,Espana
Manfred 2026,Mobile Engineer,2-5 años,€31–40K,Espana
Manfred 2026,Mobile Engineer,5-10 años,€41–45K,Espana
Manfred 2026,Mobile Engineer,>10 años,€46-50K,Espana
Manfred 2026,QA & Testing,<2 años,€20–25K,Espana
Manfred 2026,QA & Testing,2-5 años,€26–32K,Espana
Manfred 2026,QA & Testing,5-10 años,€33–40K,Espana
Manfred 2026,QA & Testing,>10 años,€41-45K,Espana
Manfred 2026,SysAdmin,<2 años,€20–25K,Espana
Manfred 2026,SysAdmin,2-5 años,€26–35K,Espana
Manfred 2026,SysAdmin,5-10 años,€36–45K,Espana
Manfred 2026,SysAdmin,>10 años,€46-50K,Espana
Manfred 2026,SRE/DevOps Engineer,<2 años,€25–35K,Espana
Manfred 2026,SRE/DevOps Engineer,2-5 años,€36–45K,Espana
Manfred 2026,SRE/DevOps Engineer,5-10 años,€46–60K,Espana
Manfred 2026,SRE/DevOps Engineer,>10 años,€61-80K,Espana
Manfred 2026,Data Engineer,<2 años,€25–35K,Espana
Manfred 2026,Data Engineer,2-5 años,€36–45K,Espana
Manfred 2026,Data Engineer,5-10 años,€46–60K,Espana
Manfred 2026,Data Engineer,>10 años,€61-80K,Espana
Manfred 2026,Data Scientist,<2 años,€25–35K,Espana
Manfred 2026,Data Scientist,2-5 años,€36–50K,Espana
Manfred 2026,Data Scientist,5-10 años,€51–70K,Espana
Manfred 2026,Data Scientist,>10 años,€71-100K,Espana
Manfred 2026,Data Analyst,<2 años,€20–25K,Espana
Manfred 2026,Data Analyst,2-5 años,€26–35K,Espana
Manfred 2026,Data Analyst,5-10 años,€36–42K,Espana
Manfred 2026,Data Analyst,>10 años,€43-50K,Espana
Manfred 2026,MLOps Engineer,<2 años,€25–35K,Espana
Manfred 2026,MLOps Engineer,2-5 años,€36–50K,Espana
Manfred 2026,MLOps Engineer,5-10 años,€51–75K,Espana
Manfred 2026,MLOps Engineer,>10 años,€75-100K,Espana
Manfred 2026,Data Architect,<2 años,∅,Espana
Manfred 2026,Data Architect,2-5 años,€40-55K,Espana
Manfred 2026,Data Architect,5-10 años,€56-75K,Espana
Manfred 2026,Data Architect,>10 años,€75-100K,Espana
Manfred 2026,Software Architect,<2 años,∅,Espana
Manfred 2026,Software Architect,2-5 años,€40-50K,Espana
Manfred 2026,Software Architect,5-10 años,€51-75K,Espana
Manfred 2026,Software Architect,>10 años,€75-100K,Espana
Manfred 2026,Tech Lead,<2 años,∅,Espana
Manfred 2026,Tech Lead,2-5 años,€40-50K,Espana
Manfred 2026,Tech Lead,5-10 años,€51-65K,Espana
Manfred 2026,Tech Lead,>10 años,€65-80K,Espana
Manfred 2026,Staff Engineer,5-10 años,€65-85K,Espana
Manfred 2026,Staff Engineer,>10 años,€86-120K,Espana
Manfred 2026,Engineering Manager,5-10 años,€60-85K,Espana
Manfred 2026,Engineering Manager,>10 años,€86-110K,Espana
Manfred 2026,VP Engineering,5-10 años,€75-110K + 0.1/0.5%,Espana
Manfred 2026,VP Engineering,>10 años,€110-150K + 0.2/1.0%,Espana
Manfred 2026,CTO / Head of Engineering,5-10 años,€55-90K + 0.5/3%,Espana
Manfred 2026,CTO / Head of Engineering,>10 años,€91-140K + 0.3/1.5%,Espana
Manfred 2026,Product Manager,<2 años,∅,Espana
Manfred 2026,Product Manager,2-5 años,€31-45K,Espana
Manfred 2026,Product Manager,5-10 años,€46-55K,Espana
Manfred 2026,Product Manager,>10 años,€55-80K,Espana
Manfred 2026,Product Designer,<2 años,€20-25K,Espana
Manfred 2026,Product Designer,2-5 años,€26-30K,Espana
Manfred 2026,Product Designer,5-10 años,€31-40K,Espana
Manfred 2026,Product Designer,>10 años,€41-50K,Espana
Manfred 2026,Security/Cybersecurity Engineer,<2 años,€25-30K,Espana
Manfred 2026,Security/Cybersecurity Engineer,2-5 años,€31-40K,Espana
Manfred 2026,Security/Cybersecurity Engineer,5-10 años,€41-55K,Espana
Manfred 2026,Security/Cybersecurity Engineer,>10 años,€56-80K,Espana
INE,INE Sector J - Ambos sexos,2024,42741.94 EUR,Espana
INE,INE Sector J - Mujeres,2024,38807.08 EUR,Espana
INE,INE Sector J - Hombres,2024,45054.30 EUR,Espana
INE,INE Sector J - Ambos sexos,2023,39674.43 EUR,Espana
INE,INE Sector J - Mujeres,2023,36392.76 EUR,Espana
INE,INE Sector J - Hombres,2023,41536.56 EUR,Espana
INE,INE Sector J - Ambos sexos,2022,37438.55 EUR,Espana
INE,INE Sector J - Mujeres,2022,34306.95 EUR,Espana
INE,INE Sector J - Hombres,2022,39135.10 EUR,Espana
INE,INE Sector J - Ambos sexos,2021,36630.48 EUR,Espana
INE,INE Sector J - Mujeres,2021,33225.56 EUR,Espana
INE,INE Sector J - Hombres,2021,38514.17 EUR,Espana
INE,INE Sector J - Ambos sexos,2020,35663.80 EUR,Espana
INE,INE Sector J - Mujeres,2020,32227.73 EUR,Espana
INE,INE Sector J - Hombres,2020,37580.51 EUR,Espana
INE,INE Sector J - Ambos sexos,2019,34641.28 EUR,Espana
INE,INE Sector J - Mujeres,2019,30898.57 EUR,Espana
INE,INE Sector J - Hombres,2019,36746.41 EUR,Espana
INE,INE Sector J - Ambos sexos,2018,33117.64 EUR,Espana
INE,INE Sector J - Mujeres,2018,29099.47 EUR,Espana
INE,INE Sector J - Hombres,2018,35411.23 EUR,Espana
INE,INE Sector J - Ambos sexos,2017,33664.26 EUR,Espana
INE,INE Sector J - Mujeres,2017,30015.53 EUR,Espana
INE,INE Sector J - Hombres,2017,35768.78 EUR,Espana
INE,INE Sector J - Ambos sexos,2016,32448.31 EUR,Espana
INE,INE Sector J - Mujeres,2016,28834.47 EUR,Espana
INE,INE Sector J - Hombres,2016,34475.06 EUR,Espana
INE,INE Sector J - Ambos sexos,2015,33046.23 EUR,Espana
INE,INE Sector J - Mujeres,2015,28935.74 EUR,Espana
INE,INE Sector J - Hombres,2015,35417.86 EUR,Espana
INE,INE Sector J - Ambos sexos,2014,32754.21 EUR,Espana
INE,INE Sector J - Mujeres,2014,29223.97 EUR,Espana
INE,INE Sector J - Hombres,2014,34740.60 EUR,Espana
INE,INE Sector J - Ambos sexos,2013,33137.17 EUR,Espana
INE,INE Sector J - Mujeres,2013,28651.29 EUR,Espana
INE,INE Sector J - Hombres,2013,35756.26 EUR,Espana
INE,INE Sector J - Ambos sexos,2012,32522.11 EUR,Espana
INE,INE Sector J - Mujeres,2012,28166.28 EUR,Espana
INE,INE Sector J - Hombres,2012,35196.03 EUR,Espana
INE,INE Sector J - Ambos sexos,2011,32491.04 EUR,Espana
INE,INE Sector J - Mujeres,2011,28464.25 EUR,Espana
INE,INE Sector J - Hombres,2011,34990.87 EUR,Espana
INE,INE Sector J - Ambos sexos,2010,32425.68 EUR,Espana
INE,INE Sector J - Mujeres,2010,28610.13 EUR,Espana
INE,INE Sector J - Hombres,2010,34726.99 EUR,Espana
INE,INE Sector J - Ambos sexos,2009,31551.65 EUR,Espana
INE,INE Sector J - Mujeres,2009,26716.32 EUR,Espana
INE,INE Sector J - Hombres,2009,34513.44 EUR,Espana
INE,INE Sector J - Ambos sexos,2008,30628.48 EUR,Espana
INE,INE Sector J - Mujeres,2008,26573.64 EUR,Espana
INE,INE Sector J - Hombres,2008,33090.09 EUR,Espana
Glassdoor,Data Scientist,rango,28.000-42.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,38.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,43.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,70.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,31.475 EUR,Espana
Glassdoor,Data Scientist,estimacion,56.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,35.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,30.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,63.462 EUR,Espana
Glassdoor,Data Scientist,estimacion,75.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,65.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,87.000 EUR,Espana
Glassdoor,Data Scientist,estimacion,78.625 EUR,Espana
Glassdoor,Data Scientist,estimacion,127.216 EUR,Espana
Glassdoor,Data Scientist,estimacion,84.408 EUR,Espana
Glassdoor,Data Scientist,estimacion,178.588 EUR,Espana
Glassdoor,Data Scientist,estimacion,82.339 EUR,Espana
Glassdoor,Data Scientist,estimacion,166.855 EUR,Espana
